x1,x2,x3,x4
3642.578125,4028.3203125,5097.65625,6660.15625
3652.34375,4023.4375,5117.1875,6684.5703125
3662.109375,4023.4375,5117.1875,6669.921875
3657.2265625,4038.0859375,5102.5390625,6669.921875
3652.34375,4038.0859375,5136.71875,6674.8046875
3657.2265625,4018.5546875,5112.3046875,6660.15625
3657.2265625,4033.203125,5107.421875,6645.5078125
3652.34375,4013.671875,5107.421875,6640.625
3647.4609375,4028.3203125,5126.953125,6621.09375
3652.34375,4003.90625,5126.953125,6630.859375
3666.9921875,3984.375,5102.5390625,6621.09375
3671.875,3989.2578125,5102.5390625,6591.796875
3681.640625,3959.9609375,5092.7734375,6586.9140625
3681.640625,3989.2578125,5102.5390625,6591.796875
3696.2890625,3994.140625,5078.125,6591.796875
3720.703125,3955.078125,5073.2421875,6577.1484375
3696.2890625,3969.7265625,5053.7109375,6557.6171875
3696.2890625,3950.1953125,5058.59375,6572.265625
3706.0546875,3959.9609375,5039.0625,6562.5
3710.9375,3955.078125,5043.9453125,6567.3828125
3706.0546875,3940.4296875,5043.9453125,6552.734375
3706.0546875,3940.4296875,5039.0625,6552.734375
3696.2890625,3950.1953125,5039.0625,6542.96875
3701.171875,3940.4296875,5039.0625,6523.4375
3701.171875,3925.78125,5019.53125,6533.203125
3696.2890625,3930.6640625,5029.296875,6523.4375
3671.875,3930.6640625,5034.1796875,6518.5546875
3671.875,3906.25,5009.765625,6513.671875
3676.7578125,3906.25,4995.1171875,6499.0234375
3642.578125,3896.484375,4980.46875,6503.90625
3647.4609375,3881.8359375,5004.8828125,6523.4375
3676.7578125,3911.1328125,4985.3515625,6503.90625
3642.578125,3896.484375,5000.0,6503.90625
3652.34375,3901.3671875,4985.3515625,6508.7890625
3627.9296875,3901.3671875,4995.1171875,6523.4375
3642.578125,3911.1328125,4970.703125,6523.4375
3613.28125,3916.015625,5000.0,6538.0859375
3613.28125,3906.25,4970.703125,6528.3203125
3613.28125,3925.78125,4970.703125,6547.8515625
3603.515625,3911.1328125,4990.234375,6552.734375
3593.75,3925.78125,4970.703125,6547.8515625
3574.21875,3955.078125,5000.0,6538.0859375
3603.515625,3950.1953125,5000.0,6562.5
