x1,x2,x3
3447.265625,4047.8515625,6245.1171875
3447.265625,4023.4375,6254.8828125
3427.734375,4003.90625,6259.765625
3422.8515625,4023.4375,6279.296875
3417.96875,4013.671875,6259.765625
3442.3828125,4008.7890625,6259.765625
3408.203125,3999.0234375,6264.6484375
3393.5546875,3984.375,6284.1796875
3398.4375,3999.0234375,6284.1796875
3388.671875,3994.140625,6303.7109375
3398.4375,3999.0234375,6289.0625
3383.7890625,3974.609375,6303.7109375
3369.140625,3959.9609375,6298.828125
3364.2578125,3969.7265625,6293.9453125
3374.0234375,3979.4921875,6274.4140625
3378.90625,3969.7265625,6259.765625
3344.7265625,3964.84375,6245.1171875
3339.84375,3964.84375,6240.234375
3330.078125,3964.84375,6245.1171875
3334.9609375,3964.84375,6235.3515625
3320.3125,3974.609375,6230.46875
3330.078125,3964.84375,6220.703125
3315.4296875,3974.609375,6245.1171875
3320.3125,3979.4921875,6225.5859375
3305.6640625,3964.84375,6201.171875
3310.546875,3984.375,6206.0546875
3305.6640625,3984.375,6186.5234375
3310.546875,3974.609375,6191.40625
3310.546875,3989.2578125,6196.2890625
3310.546875,4003.90625,6181.640625
3339.84375,3989.2578125,6166.9921875
3325.1953125,4003.90625,6166.9921875
3339.84375,3999.0234375,6196.2890625
3325.1953125,4013.671875,6166.9921875
3364.2578125,4018.5546875,6157.2265625
3359.375,4038.0859375,6166.9921875
3354.4921875,4038.0859375,6152.34375
3334.9609375,4033.203125,6162.109375
3344.7265625,4013.671875,6166.9921875
3349.609375,4038.0859375,6152.34375
3359.375,4042.96875,6176.7578125
3354.4921875,4042.96875,6176.7578125
3344.7265625,4038.0859375,6186.5234375
3354.4921875,4038.0859375,6191.40625
3349.609375,4042.96875,6210.9375
3378.90625,4077.1484375,6206.0546875
3369.140625,4062.5,6201.171875
3364.2578125,4052.734375,6206.0546875
3374.0234375,4072.265625,6196.2890625
3369.140625,4082.03125,6220.703125
3369.140625,4086.9140625,6210.9375
3378.90625,4077.1484375,6225.5859375
3374.0234375,4082.03125,6215.8203125
3378.90625,4072.265625,6245.1171875
3383.7890625,4052.734375,6245.1171875
3398.4375,4033.203125,6240.234375
3378.90625,4042.96875,6245.1171875
3383.7890625,4038.0859375,6235.3515625
3393.5546875,4018.5546875,6264.6484375
3383.7890625,4023.4375,6254.8828125
3369.140625,4008.7890625,6274.4140625
3354.4921875,3999.0234375,6259.765625
3349.609375,4018.5546875,6259.765625
3339.84375,4008.7890625,6284.1796875
3364.2578125,3999.0234375,6293.9453125
3344.7265625,3989.2578125,6279.296875
3344.7265625,3994.140625,6298.828125
3339.84375,3984.375,6284.1796875
3320.3125,3979.4921875,6303.7109375
3330.078125,3974.609375,6293.9453125
3334.9609375,3969.7265625,6274.4140625
3325.1953125,3969.7265625,6284.1796875
3315.4296875,3969.7265625,6264.6484375
3315.4296875,3974.609375,6274.4140625
3305.6640625,3950.1953125,6269.53125
3295.8984375,3940.4296875,6220.703125
3300.78125,3959.9609375,6250.0
