x1,x2,x3,x4,x5,x6
3344.7265625,3486.328125,3486.328125,4013.671875,5034.1796875,6303.7109375
3339.84375,3481.4453125,3447.265625,4018.5546875,5034.1796875,6303.7109375
3334.9609375,3447.265625,3466.796875,4003.90625,5039.0625,6298.828125
3344.7265625,3447.265625,3466.796875,3999.0234375,5058.59375,6313.4765625
3354.4921875,3447.265625,3466.796875,3994.140625,5058.59375,6323.2421875
3344.7265625,3437.5,3461.9140625,4018.5546875,5083.0078125,6318.359375
3354.4921875,3447.265625,3461.9140625,3979.4921875,5073.2421875,6342.7734375
3359.375,3447.265625,3466.796875,3999.0234375,5058.59375,6337.890625
3359.375,3437.5,3476.5625,4052.734375,5068.359375,6337.890625
3354.4921875,3422.8515625,3461.9140625,4018.5546875,5068.359375,6347.65625
3359.375,3417.96875,3476.5625,4013.671875,5058.59375,6347.65625
3349.609375,3413.0859375,3505.859375,4023.4375,5073.2421875,6347.65625
3359.375,3408.203125,3500.9765625,4038.0859375,5083.0078125,6357.421875
3374.0234375,3408.203125,3481.4453125,4028.3203125,5078.125,6352.5390625
3403.3203125,3378.90625,3486.328125,4023.4375,5058.59375,6357.421875
3383.7890625,3403.3203125,3515.625,4018.5546875,5068.359375,6357.421875
3383.7890625,3383.7890625,3505.859375,4033.203125,5043.9453125,6372.0703125
3383.7890625,3398.4375,3510.7421875,4047.8515625,5043.9453125,6381.8359375
3408.203125,3364.2578125,3505.859375,4042.96875,5048.828125,6367.1875
3393.5546875,3374.0234375,3515.625,4042.96875,5034.1796875,6367.1875
3408.203125,3378.90625,3510.7421875,4047.8515625,5034.1796875,6342.7734375
3403.3203125,3349.609375,3505.859375,4042.96875,5024.4140625,6333.0078125
3398.4375,3364.2578125,3535.15625,4072.265625,5034.1796875,6337.890625
3408.203125,3354.4921875,3530.2734375,4052.734375,5029.296875,6318.359375
3388.671875,3354.4921875,3530.2734375,4047.8515625,4995.1171875,6308.59375
3417.96875,3334.9609375,3540.0390625,4082.03125,5000.0,6308.59375
3417.96875,3359.375,3540.0390625,4062.5,5004.8828125,6289.0625
3413.0859375,3359.375,3544.921875,4067.3828125,4990.234375,6298.828125
3417.96875,3344.7265625,3525.390625,4067.3828125,4985.3515625,6264.6484375
3427.734375,3369.140625,3544.921875,4067.3828125,4985.3515625,6259.765625
3422.8515625,3349.609375,3530.2734375,4062.5,4985.3515625,6245.1171875
3452.1484375,3349.609375,3525.390625,4072.265625,4980.46875,6264.6484375
3432.6171875,3364.2578125,3535.15625,4077.1484375,4980.46875,6235.3515625
3447.265625,3359.375,3554.6875,4077.1484375,4980.46875,6250.0
3461.9140625,3374.0234375,3544.921875,4077.1484375,4975.5859375,6230.46875
3432.6171875,3393.5546875,3559.5703125,4052.734375,5000.0,6230.46875
3437.5,3378.90625,3544.921875,4077.1484375,4956.0546875,6245.1171875
3432.6171875,3383.7890625,3540.0390625,4082.03125,4956.0546875,6230.46875
3422.8515625,3388.671875,3554.6875,4086.9140625,4946.2890625,6201.171875
3417.96875,3383.7890625,3530.2734375,4072.265625,4956.0546875,6215.8203125
3413.0859375,3374.0234375,3540.0390625,4067.3828125,4965.8203125,6215.8203125
3417.96875,3398.4375,3559.5703125,4062.5,4965.8203125,6191.40625
3408.203125,3388.671875,3525.390625,4067.3828125,4980.46875,6196.2890625
3388.671875,3388.671875,3510.7421875,4067.3828125,4965.8203125,6191.40625
3403.3203125,3403.3203125,3510.7421875,4042.96875,4985.3515625,6201.171875
3383.7890625,3398.4375,3510.7421875,4028.3203125,4985.3515625,6220.703125
3383.7890625,3408.203125,3520.5078125,4033.203125,4990.234375,6186.5234375
3388.671875,3398.4375,3491.2109375,4028.3203125,4985.3515625,6206.0546875
3349.609375,3393.5546875,3496.09375,4038.0859375,4995.1171875,6220.703125
3383.7890625,3417.96875,3500.9765625,4013.671875,5000.0,6210.9375
3374.0234375,3417.96875,3486.328125,4013.671875,5014.6484375,6210.9375
3344.7265625,3413.0859375,3520.5078125,4018.5546875,5004.8828125,6230.46875
3359.375,3422.8515625,3476.5625,3989.2578125,5009.765625,6230.46875
3354.4921875,3417.96875,3476.5625,4003.90625,5029.296875,6235.3515625
3388.671875,3417.96875,3461.9140625,3989.2578125,5014.6484375,6240.234375
3339.84375,3417.96875,3471.6796875,4003.90625,5000.0,6254.8828125
3344.7265625,3417.96875,3466.796875,3994.140625,5024.4140625,6264.6484375
3330.078125,3432.6171875,3461.9140625,3994.140625,5039.0625,6240.234375
3330.078125,3403.3203125,3466.796875,3984.375,5034.1796875,6240.234375
3330.078125,3408.203125,3452.1484375,3989.2578125,5039.0625,6259.765625
3320.3125,3403.3203125,3457.03125,3984.375,5053.7109375,6274.4140625
3339.84375,3393.5546875,3447.265625,3974.609375,5048.828125,6259.765625
3315.4296875,3383.7890625,3457.03125,3955.078125,5029.296875,6269.53125
3339.84375,3383.7890625,3432.6171875,3974.609375,5063.4765625,6279.296875
3364.2578125,3364.2578125,3447.265625,3964.84375,5068.359375,6259.765625
3344.7265625,3364.2578125,3471.6796875,3979.4921875,5073.2421875,6293.9453125
3354.4921875,3374.0234375,3466.796875,3959.9609375,5068.359375,6274.4140625
3364.2578125,3359.375,3457.03125,3969.7265625,5087.890625,6284.1796875
3349.609375,3383.7890625,3496.09375,3989.2578125,5073.2421875,6284.1796875
3354.4921875,3359.375,3476.5625,3989.2578125,5092.7734375,6284.1796875
3378.90625,3354.4921875,3476.5625,3999.0234375,5068.359375,6293.9453125
3369.140625,3349.609375,3481.4453125,4003.90625,5068.359375,6308.59375
3383.7890625,3339.84375,3496.09375,4008.7890625,5068.359375,6303.7109375
3378.90625,3344.7265625,3491.2109375,3999.0234375,5053.7109375,6313.4765625
3413.0859375,3334.9609375,3500.9765625,4003.90625,5053.7109375,6313.4765625
3393.5546875,3330.078125,3496.09375,4013.671875,5029.296875,6293.9453125
3398.4375,3334.9609375,3500.9765625,4003.90625,5039.0625,6298.828125
3388.671875,3320.3125,3500.9765625,4033.203125,5039.0625,6284.1796875
3408.203125,3305.6640625,3500.9765625,3994.140625,5019.53125,6284.1796875
3408.203125,3320.3125,3505.859375,4038.0859375,5043.9453125,6279.296875
