x1,x2,x3,x4,x5
3408.203125,3466.796875,4033.203125,4936.5234375,6308.59375
3393.5546875,3457.03125,4028.3203125,4946.2890625,6264.6484375
3383.7890625,3452.1484375,4023.4375,4936.5234375,6269.53125
3388.671875,3452.1484375,4008.7890625,4956.0546875,6259.765625
3378.90625,3481.4453125,4003.90625,4956.0546875,6269.53125
3388.671875,3471.6796875,4018.5546875,4965.8203125,6250.0
3378.90625,3466.796875,4003.90625,4931.640625,6225.5859375
3374.0234375,3476.5625,3989.2578125,4960.9375,6250.0
3359.375,3471.6796875,4008.7890625,4956.0546875,6250.0
3344.7265625,3486.328125,4008.7890625,4960.9375,6250.0
3349.609375,3486.328125,4018.5546875,4965.8203125,6230.46875
3354.4921875,3476.5625,3994.140625,4965.8203125,6240.234375
3325.1953125,3496.09375,4003.90625,4965.8203125,6240.234375
3339.84375,3486.328125,3999.0234375,4956.0546875,6215.8203125
3334.9609375,3481.4453125,3969.7265625,4975.5859375,6220.703125
3344.7265625,3500.9765625,3959.9609375,4975.5859375,6215.8203125
3330.078125,3481.4453125,3964.84375,4980.46875,6215.8203125
3330.078125,3505.859375,3964.84375,4975.5859375,6201.171875
3320.3125,3505.859375,3959.9609375,4985.3515625,6201.171875
3330.078125,3505.859375,3959.9609375,4990.234375,6196.2890625
3310.546875,3500.9765625,3974.609375,4995.1171875,6191.40625
3325.1953125,3496.09375,3969.7265625,4995.1171875,6181.640625
3334.9609375,3510.7421875,3974.609375,4995.1171875,6201.171875
3334.9609375,3530.2734375,3979.4921875,5014.6484375,6210.9375
3349.609375,3510.7421875,3964.84375,5004.8828125,6206.0546875
3349.609375,3515.625,3974.609375,5024.4140625,6220.703125
3359.375,3486.328125,3979.4921875,4985.3515625,6191.40625
3349.609375,3510.7421875,3979.4921875,5019.53125,6220.703125
3388.671875,3496.09375,3994.140625,5000.0,6225.5859375
3364.2578125,3491.2109375,3994.140625,5000.0,6225.5859375
3359.375,3491.2109375,3999.0234375,4995.1171875,6230.46875
3359.375,3486.328125,4003.90625,4980.46875,6240.234375
3369.140625,3471.6796875,3984.375,4975.5859375,6240.234375
3369.140625,3461.9140625,4003.90625,4965.8203125,6240.234375
3374.0234375,3461.9140625,3994.140625,4970.703125,6259.765625
3354.4921875,3457.03125,3999.0234375,4965.8203125,6259.765625
3369.140625,3442.3828125,4033.203125,4936.5234375,6279.296875
3369.140625,3442.3828125,4023.4375,4936.5234375,6274.4140625
3398.4375,3452.1484375,4028.3203125,4941.40625,6284.1796875
3383.7890625,3427.734375,4028.3203125,4941.40625,6269.53125
3378.90625,3427.734375,4033.203125,4931.640625,6289.0625
3378.90625,3437.5,4023.4375,4907.2265625,6284.1796875
3369.140625,3408.203125,4047.8515625,4916.9921875,6289.0625
3369.140625,3417.96875,4018.5546875,4931.640625,6293.9453125
3398.4375,3417.96875,4018.5546875,4902.34375,6303.7109375
3398.4375,3417.96875,4033.203125,4902.34375,6308.59375
3393.5546875,3437.5,4042.96875,4916.9921875,6274.4140625
3369.140625,3417.96875,4038.0859375,4902.34375,6308.59375
3349.609375,3413.0859375,4038.0859375,4882.8125,6308.59375
3383.7890625,3403.3203125,4028.3203125,4868.1640625,6298.828125
3374.0234375,3398.4375,4033.203125,4877.9296875,6323.2421875
3359.375,3403.3203125,4033.203125,4868.1640625,6328.125
3359.375,3398.4375,4028.3203125,4873.046875,6308.59375
3369.140625,3393.5546875,4008.7890625,4838.8671875,6298.828125
3339.84375,3408.203125,3999.0234375,4868.1640625,6274.4140625
3359.375,3408.203125,3994.140625,4877.9296875,6279.296875
3354.4921875,3447.265625,3989.2578125,4887.6953125,6313.4765625
3334.9609375,3417.96875,3994.140625,4877.9296875,6250.0
3330.078125,3422.8515625,3950.1953125,4877.9296875,6254.8828125
3334.9609375,3417.96875,3979.4921875,4887.6953125,6269.53125
3320.3125,3432.6171875,3974.609375,4897.4609375,6254.8828125
3310.546875,3427.734375,3955.078125,4892.578125,6259.765625
3315.4296875,3427.734375,3959.9609375,4902.34375,6245.1171875
3315.4296875,3437.5,3959.9609375,4907.2265625,6225.5859375
3315.4296875,3432.6171875,3945.3125,4912.109375,6230.46875
3315.4296875,3447.265625,3959.9609375,4916.9921875,6220.703125
3305.6640625,3432.6171875,3935.546875,4907.2265625,6235.3515625
3300.78125,3447.265625,3950.1953125,4916.9921875,6210.9375
3315.4296875,3442.3828125,3925.78125,4921.875,6201.171875
3305.6640625,3432.6171875,3935.546875,4926.7578125,6201.171875
3300.78125,3442.3828125,3930.6640625,4926.7578125,6196.2890625
3291.015625,3461.9140625,3940.4296875,4931.640625,6201.171875
3271.484375,3457.03125,3930.6640625,4941.40625,6206.0546875
3276.3671875,3452.1484375,3920.8984375,4931.640625,6191.40625
3295.8984375,3457.03125,3920.8984375,4931.640625,6191.40625
3286.1328125,3461.9140625,3920.8984375,4941.40625,6181.640625
3286.1328125,3491.2109375,3935.546875,4921.875,6191.40625
3300.78125,3461.9140625,3935.546875,4946.2890625,6181.640625
3305.6640625,3471.6796875,3916.015625,4956.0546875,6181.640625
3291.015625,3481.4453125,3945.3125,4975.5859375,6171.875
3315.4296875,3496.09375,3950.1953125,4965.8203125,6181.640625
3295.8984375,3486.328125,3940.4296875,4956.0546875,6191.40625
3320.3125,3491.2109375,3935.546875,4960.9375,6191.40625
3320.3125,3471.6796875,3959.9609375,4985.3515625,6206.0546875
3320.3125,3466.796875,3959.9609375,4985.3515625,6201.171875
3310.546875,3457.03125,3964.84375,4980.46875,6206.0546875
3325.1953125,3442.3828125,3955.078125,4960.9375,6201.171875
3330.078125,3437.5,3964.84375,4941.40625,6235.3515625
3354.4921875,3442.3828125,3979.4921875,4956.0546875,6225.5859375
3330.078125,3413.0859375,3974.609375,4960.9375,6215.8203125
3349.609375,3422.8515625,3969.7265625,4960.9375,6215.8203125
3339.84375,3437.5,3950.1953125,4941.40625,6245.1171875
3344.7265625,3437.5,3959.9609375,4931.640625,6254.8828125
3349.609375,3432.6171875,3984.375,4936.5234375,6245.1171875
3344.7265625,3432.6171875,3984.375,4936.5234375,6254.8828125
3334.9609375,3413.0859375,3984.375,4926.7578125,6269.53125
3339.84375,3447.265625,3984.375,4907.2265625,6279.296875
3344.7265625,3422.8515625,3989.2578125,4921.875,6284.1796875
3374.0234375,3403.3203125,4023.4375,4907.2265625,6284.1796875
3354.4921875,3383.7890625,4003.90625,4926.7578125,6269.53125
3344.7265625,3393.5546875,4028.3203125,4897.4609375,6289.0625
3364.2578125,3393.5546875,4023.4375,4897.4609375,6303.7109375
3369.140625,3378.90625,4008.7890625,4887.6953125,6289.0625
3374.0234375,3398.4375,4018.5546875,4912.109375,6293.9453125
3378.90625,3393.5546875,3999.0234375,4877.9296875,6293.9453125
3354.4921875,3383.7890625,4028.3203125,4892.578125,6298.828125
